"","AverageWorkTime","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating"
"1",7.37365062260536,51,"No","Travel_Rarely","Sales",6,"2","Life Sciences",1,"Female","1","Healthcare Representative","Married",131160,1,"Y",11,8,"0",1,6,1,0,0,"3","4","2","3","3"
"2",7.71896892655367,31,"Yes","Travel_Frequently","Research & Development",10,"1","Life Sciences",1,"Female","1","Research Scientist","Single",41890,0,"Y",23,8,"1",6,3,5,1,4,"3","2","4","2","4"
"3",7.01324035812672,32,"No","Travel_Frequently","Research & Development",17,"4","Other",1,"Male","4","Sales Executive","Married",193280,1,"Y",15,8,"3",5,2,5,0,3,"2","2","1","3","3"
"4",7.19367848699764,38,"No","Non-Travel","Research & Development",2,"5","Life Sciences",1,"Male","3","Human Resources","Married",83210,3,"Y",11,8,"3",13,5,8,7,5,"4","4","3","2","3"
"5",8.0061746031746,32,"No","Travel_Rarely","Research & Development",10,"1","Medical",1,"Male","1","Sales Executive","Single",23420,4,"Y",12,8,"2",9,2,6,0,4,"4","1","3","3","3"
"6",10.7960958743554,46,"No","Travel_Rarely","Research & Development",8,"3","Life Sciences",1,"Female","4","Research Director","Married",40710,3,"Y",13,8,"0",28,5,7,7,7,"3","2","2","3","3"
"7",6.92357040229885,28,"Yes","Travel_Rarely","Research & Development",11,"2","Medical",1,"Male","2","Sales Executive","Single",58130,2,"Y",20,8,"1",5,2,0,0,0,"1","3","1","3","4"
"8",6.7256207133059,29,"No","Travel_Rarely","Research & Development",18,"3","Life Sciences",1,"Male","2","Sales Executive","Married",31430,2,"Y",22,8,"3",10,2,0,0,0,"1","2","3","3","4"
"9",7.23649879227053,31,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","3","Laboratory Technician","Married",20440,0,"Y",21,8,"0",10,2,9,7,8,"2","4","3","3","4"
"10",7.08008784425451,25,"No","Non-Travel","Research & Development",7,"4","Medical",1,"Female","4","Laboratory Technician","Divorced",134640,1,"Y",13,8,"1",6,2,6,1,5,"2","1","3","3","3"
"11",8.40348547717842,45,"No","Travel_Rarely","Research & Development",17,"2","Medical",1,"Male","2","Laboratory Technician","Married",79910,0,"Y",13,8,"2",21,2,20,4,10,"3","4","3","2","3"
"13",9.30140950994663,55,"No","Travel_Rarely","Research & Development",14,"4","Life Sciences",1,"Female","1","Sales Executive","Single",55380,0,"Y",17,8,"0",37,2,36,4,13,"4","1","3","3","3"
"14",9.39993144208038,47,"Yes","Non-Travel","Research & Development",1,"1","Medical",1,"Male","1","Research Scientist","Married",57620,1,"Y",11,8,"2",10,4,10,9,9,"1","2","2","2","3"
"15",6.08968764407561,28,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","1","Manufacturing Director","Married",25920,1,"Y",14,8,"0",5,2,5,0,4,"4","4","2","3","3"
"16",6.70517463666198,37,"No","Travel_Rarely","Research & Development",1,"3","Life Sciences",1,"Male","2","Healthcare Representative","Married",53460,4,"Y",11,8,"0",7,2,5,0,1,"3","4","4","3","3"
"17",6.61904062652961,21,"No","Travel_Rarely","Research & Development",3,"2","Life Sciences",1,"Male","1","Laboratory Technician","Single",42130,1,"Y",12,8,"3",3,3,3,1,0,"4","3","4","2","3"
"18",11.0143281391147,37,"No","Non-Travel","Research & Development",1,"3","Medical",1,"Male","2","Sales Executive","Divorced",41270,2,"Y",13,8,"1",15,2,5,0,2,"1","4","3","3","3"
"19",6.96025383141762,35,"No","Travel_Rarely","Sales",7,"4","Life Sciences",1,"Male","1","Sales Representative","Divorced",24380,7,"Y",16,8,"0",10,5,7,6,2,"2","2","2","2","3"
